"cc1","cc2","rep","is_ABAC"
"ʔɑn","ŋjue","安危",""
"pɛX","ɣɑp̚","捭阖",""
"pɑu","pjɛmX","褒贬",""
"puənX","muɑt̚","本末",""
"pjeX","t͡sʰieX","彼此",""
"piɛu","puənX","标本",""
"piɛuX","liəX","表里",""
"","t͡ɕioX","宾主",""
"piəŋ","tʰɑnH","冰炭",""
"pɐk̚","ȡiuŋH","伯仲",""
"buɑk̚","ɣuX","薄厚",""
"d͡zᴀi","bioŋ","裁缝",""
"t͡sʰɑu","t͡sioŋH","操纵",""
"ʃɛnX","siɛu","产销",""
"ȡiaŋ","tuɑnX","长短",""
"t͡ɕʰiaŋH","ɣuɑH","唱和",""
"ȡjɛu","iaX","朝野",""
"ʑiĕn","miĕn","臣民",""
"ȡjəm","biu","沉浮",""
"ʑiĕn","xuən","晨昏",""
"ʑiɛŋ","baiH","成败",""
"ʑiɛŋ","ȶjĕnH","城镇",""
"d͡ʑiəŋ","ȡiɔ","乘除",""
"ȡji","t͡sɑuX","迟早",""
"t͡ɕʰuiH","muət̚","出没",""
"t͡ɕʰuiH","nᴀp̚","出纳",""
"t͡ɕʰuiH","ȵiəp̚","出入",""
"ȡjuɛn","ziəp̚","传习",""
"t͡ɕʰiuĕn","t͡sʰiu","春秋",""
"t͡sʰie","ɣiuŋ","雌雄",""
"d͡zoX","seiH","粗细",""
"d͡zuən","miuaŋ","存亡",""
"dɑiH","siɛuX","大小",""
"tɑnH","ziɛk̚","旦夕",""
"tək̚","ɕiĕt̚","得失",""
"deiX","muᴀiH","弟妹",""
"deiX","xiuɐŋ","弟兄",""
"ten","muɑt̚","颠末",""
"tuŋ","sei","东西",""
"duŋX","d͡ziɛŋX","动静",""
"tɑ","kuaX","多寡",""
"tɑ","ɕiɛuX","多少",""
"ʔən","ʔiuɐnH","恩怨",""
"ȵie","niɔX","儿女",""
"piuɐnX","t͡ɕiɛŋH","反正",""
"piuaŋ","ɣjuɛn","方圆",""
"biuəi","ʃiuH","肥瘦",""
"biuŋH","ɣuɑŋ","凤凰",""
"pio","biuX","夫妇",""
"pio","t͡sʰei","夫妻",""
"biu","ȡjəm","浮沉",""
"pioX","ŋiaŋX","俯仰",""
"bioX","muX","父母",""
"bioX","t͡siəX","父子",""
"kɑm","kʰoX","甘苦",""
"kɑn","t͡ɕie","干支",""
"kɑnH","ɡiuən","干群",""
"koX","kjəm","古今",""
"kɑŋ","miuk̚","纲目",""
"kɑu","ʔɛX","高矮",""
"kɑu","tei","高低",""
"kɑu","ɣaX","高下",""
"kuŋ","buɑ","公婆",""
"kuŋ","si","公私",""
"kuŋ","kuɑH","功过",""
"kuŋ","d͡zuᴀiX","功罪",""
"kioŋ","ɡiu","供求",""
"kioŋ","sio","供需",""
"kuH","siɛu","购销",""
"kuɑn","piɐŋ","官兵",""
"kuɑŋX","muH","广袤",""
"kiue","kioX","规矩",""
"kiuəiH","d͡ziɛnH","贵贱",""
"ɣɑn","ȵiɛt̚","寒热",""
"ɣɑn","ɕiɔX","寒暑",""
"ɣɑn","xiuɐn","寒暄",""
"ɣɑŋ","liɛt̚","行列",""
"xɑuX","ŋɑt̚","好歹",""
"xɑuX","lɑiH","好赖",""
"xɑuH","ʔoH","好恶",""
"xək̚","bɐk̚","黑白",""
"ɣuɐŋ","ʑioX","横竖",""
"ɣuɐŋ","ȡiək̚","横直",""
"ɣuX","buɑk̚","厚薄",""
"xo","xjəp̚","呼吸",""
"xo","ʔiəŋH","呼应",""
"ɣuɑnX","kjəp̚","缓急",""
"xjueX","iɔH","毁誉",""
"xuᴀiH","miɐŋ","晦明",""
"xuᴀiH","ʃɔk̚","晦朔",""
"kiĕt̚","xioŋ","吉凶",""
"kaH","ʃiək̚","稼穑",""
"t͡siaŋX","ȡiəŋ","奖惩",""
"t͡siaŋH","d͡ʒiəX","将士",""
"kau","t͡siɛp̚","交接",""
"kauH","ɣɔk̚","教学",""
"t͡siaX","muᴀiH","姐妹",""
"kjəm","siɛk̚","今昔",""
"t͡siĕnH","t͡ɕʰuiH","进出",""
"t͡siĕnH","tʰuᴀiH","进退",""
"keŋ","lɑk̚","经络",""
"kiɔX","t͡ɕiəX","举止",""
"ɡiɔX","seiH","巨细",""
"d͡ziuɛt̚","ziok̚","绝续",""
"kiuən","miĕn","军民",""
"kʰᴀi","kuan","开关",""
"kʰɑuX","piX","考妣",""
"kʰuaiH","manH","快慢",""
"kʰuɑn","t͡ʃɐk̚","宽窄",""
"lᴀi","ɣuᴀi","来回",""
"lᴀi","kʰiɔH","来去",""
"lᴀi","ɣiuaŋX","来往",""
"lɑu","iĕt̚","劳逸",""
"lɑu","t͡si","劳资",""
"lɑuX","ɕiɛuH","老少",""
"lɑuX","siɛuX","老小",""
"lɑuX","ʔiĕuH","老幼",""
"lɐŋX","nuɑnX","冷暖",""
"lie","ɣᴀp̚","离合",""
"liH","biɛiH","利弊",""
"liH","duənH","利钝",""
"liH","ɣɑiH","利害",""
"liɛm","ȶʰiəX","廉耻",""
"mɛX","mɛH","买卖",""
"miu","duənX","矛盾",""
"miɐŋ","miɛt̚","明灭",""
"nᴀm","niɔX","男女",""
"nᴀm","pək̚","南北",""
"nuᴀiH","ŋuɑiH","内外",""
"nioŋ","dɑmX","浓淡",""
"biɐŋ","t͡ʃiək̚","平仄",""
"buɑ","","婆媳",""
"pʰo","kɑiH","铺盖",""
"kʰiəX","biuk̚","起伏",""
"kʰiəX","kɔŋH","起降",""
"kʰiəX","lɑk̚","起落",""
"kʰiəX","kiət̚","起讫",""
"kʰiəX","t͡ɕiəX","起止",""
"t͡sʰen","mɐk̚","阡陌",""
"d͡zen","ɣuX","前后",""
"ɡjɛn","kʰuən","乾坤",""
"t͡sʰiĕn","ʃiɔ","亲疏",""
"kʰiɛŋ","ȡioŋX","轻重",""
"kʰiok̚","ȡiək̚","曲直",""
"t͡sʰioX","ɕiaX","取舍",""
"kʰiɔH","d͡ziuH","去就",""
"kʰiɔH","liu","去留",""
"ȵiĕn","miuət̚","人物",""
"ȵiəmH","mjɛnX","任免",""
"ȵiĕt̚","ziɛk̚","日夕",""
"ȵiĕt̚","iaH","日夜",""
"ȵiĕt̚","ŋiuɐt̚","日月",""
"ɣiuɐŋ","ȵiok̚","荣辱",""
"səŋ","nji","僧尼",""
"səŋ","ziok̚","僧俗",""
"ʃɛn","ɕjuiX","山水",""
"ɕiaŋX","biuɐt̚","赏罚",""
"ʑiaŋH","ɣaX","上下",""
"ɕiĕn","ʃiuk̚","伸缩",""
"ʃjəm","ɕiaŋ","参商",""
"ɕiəm","t͡sʰiɛnX","深浅",""
"ɕiəŋ","kɔŋH","升降",""
"ʃɐŋ","sjiX","生死",""
"ɕiəŋH","baiH","胜败",""
"ɕiəŋ","biuX","胜负",""
"ʑiə","kʰuŋ","时空",""
"ɕiəX","muɑt̚","始末",""
"ɕiəX","t͡ɕiuŋ","始终",""
"d͡ʒiəX","niɔX","士女",""
"ʑieX","piuəi","是非",""
"ʑieX","piuX","是否",""
"ɕiu","piuɐt̚","收发",""
"ɕiu","t͡ɕie","收支",""
"ɕiuX","kiak̚","手脚",""
"ɕiuX","t͡siok̚","手足",""
"ɕiuX","miuəiX","首尾",""
"ʑiuH","ʑiuX","授受",""
"ɕiɔ","kjuɛnX","舒卷",""
"ɕio","iɛŋ","输赢",""
"ɕjuiX","xuɑX","水火",""
"ʑiueH","kauH","睡觉",""
"ʃɔk̚","miuaŋH","朔望",""
"sjiX","ɣuɑt̚","死活",""
"zioŋ","kiĕnX","松紧",""
"siuk̚","iaH","夙夜",""
"suənX","ʔiɛk̚","损益",""
"dei","buɑt̚","题跋",""
"tʰen","diH","天地",""
"tʰen","ȵiaŋX","天壤",""
"tʰen","ʔuen","天渊",""
"tʰən","tʰoX","吞吐",""
"ɣiuaŋX","piuɐnX","往返",""
"ɣiuaŋX","biuH","往复",""
"ɣiuaŋX","ɣuan","往还",""
"ɣiuaŋX","lᴀi","往来",""
"miuaŋH","kiəH","忘记",""
"miuən","mioX","文武",""
"miuənH","tᴀp̚","问答",""
"xjəp̚","ȶiaŋ","翕张",""
"ɣa","ȵieX","遐迩",""
"sen","ɣuX","先后",""
"xiaŋH","buᴀiH","向背",""
"siɛu","siək̚","消息",""
"siɛu","ȶiaŋX","消长",""
"siɛu","ȵiaŋX","霄壤",""
"xiəŋ","ʃjui","兴衰",""
"xiəŋ","miuaŋ","兴亡",""
"ɣɐŋ","d͡zɑŋ","行藏",""
"ɣɐŋ","t͡ɕiəX","行止",""
"xiuɐŋ","deiX","兄弟",""
"xiu","t͡sʰek̚","休戚",""
"siu","tuɑnX","修短",""
"xiɔ","d͡ʑiĕt̚","虚实",""
"ziɔX","buɑt̚","序跋",""
"xiɐn","ȶjiH","轩轾",""
"ŋiɐn","ɣɐŋ","言行",""
"ŋen","t͡ɕʰiə","妍媸",""
"ɣjɛm","liaŋ","炎凉",""
"iaŋ","kʰiH","扬弃",""
"ʔiəi","ɣiuəi","依违",""
"iəH","duŋ","异同",""
"ʔiək̚","iaŋ","抑扬",""
"ʔiĕn","kuɑX","因果",""
"ʔjəm","iaŋ","阴阳",""
"ʔjəm","ŋjeH","音义",""
"ʔiənX","ɣenH","隐现",""
"iɛŋ","kʰjue","盈亏",""
"ʔiu","liuɛt̚","优劣",""
"ʔiĕu","miɐŋ","幽明",""
"ɣioX","ȡiuH","宇宙",""
"ŋiuɐn","ʔjueX","原委",""
"ŋiuɐn","liu","源流",""
"ɣiuɐnX","ɡiənX","远近",""
"t͡sɑŋ","bjiX","臧否",""
"t͡sɑuX","miuɐnX","早晚",""
"","bɐk̚","皂白",""
"t͡səŋ","ʃan","增删",""
"t͡ɕiɛm","koH","瞻顾",""
"ȶiaŋ","lɑk̚","涨落",""
"ȶjɛu","ziɛk̚","朝夕",""
"t͡ɕiĕn","ŋjueH","真伪",""
"t͡ɕiĕt̚","liaŋH","质量",""
"ȶiuŋ","ŋuɑiH","中外",""
"ȶiuŋ","sei","中西",""
"ȶiuH","iaH","昼夜",""
"t͡ɕioX","t͡sʰiH","主次",""
"t͡ɕioX","d͡zioŋH","主从",""
"t͡ʃiaŋ","siaH","装卸",""
"t͡siəX","niɔX","子女",""
"t͡siəX","muᴀiH","姊妹",""
"t͡sioŋ","ɣuɐŋ","纵横",""
"t͡soX","suən","祖孙",""
"t͡sɑX","ɣiuX","左右",""
"t͡sɑH","siək̚","作息",""
